Subject Code,Course Number,Description
AFAM,100,"This course will examine the history of African Americans from the Great Migration from the rural South to the urban centers of America beginning at the turn of the new century, the promise of greater opportunities in the aftermath of two World Wars, the catastrophic impact of the Great Depression of the 1930’s, the persistence of violence against blacks in the Jim Crow South and other American cities  during the post World War II period, the burgeoning Civil Rights Movement of the 1950’s and 60’s, and the growing racial consciousness that accompanied demands for empowerment  of black communities through the 1960’s and 70’s into the 21st Century. The artistic expressions of black playwrights, poets, visual and performing artists and filmmakers have been pivotal in understanding African American experience during the 20th Century and in the course, we will focus on a variety of artistic forms to examine this history."
AFAM,206,"The first part of this course will provide students with a broad overview of important sociological theories regarding work. We will read major theorists' (eg. Marx, Weber, DuBois) contributions to the study of work. We will use these works to answer fundamental questions such as: Why do we work? Who controls our labor? How does work influence our quality of life? The second part of this course focuses on how work has been racialized in the U.S. labor market. Specifically, students will be exposed to various themes in African-American labor history and class formation. Although the cases of racialized labor focus on African Americans, students will be exposed to the work experiences of other subaltern groups. Prerequisites for 200-level: One 100-level Social Science or African American Studies course. Prerequisites for 300-level: One 100-level and one 200-level (or higher) Social Science or African American Studies course."
AFAM,209,"This course will examine events in American history through the novels of African American writers, focusing on events and narratives such as: a slave revolt in the 1800s; the naval exploits of Robert Smalls during the Civil War; the black presence in wars fought by the United States from the American Revolution, WW I, WW II, to Vietnam; a Southern black family coming to terms with the legacy of slavery through the Jim Crow era; a young black girl's coming of age at the beginning of the Southern Civil Rights Movement in the late 1950s; stories of racial upheavals in the cities of Boston and Philadelphia during the 1970s & 1980s; and a dystopian novel of racial and political strife in Los Angeles during the not too distant future. For 200 level students the prerequisite is completion of Sem 1; for 300 level students the prerequisite is Sem 3.
"
AFAM,302,"This is an upper level African American Studies course that focuses on critical race theories and empirical research on African Americans in the U.S.  ""Traditional"" academic research on African-Americans documents and explains how racialized systems of inequality operate.  Critical race theory is different because it also explicitly articulates the need for social justice.  Various theoretical approaches will be applied to specific historical developments in U.S. racialized structures as they pertain to African Americans. We will begin by challenging and historicizing the concept of ""race.""  Our attention will then turn to various empirical studies on the position of African Americans within various institutions including, but not limited to labor market, wealth, legal system, education, housing, healthcare, politics, etc.  Then we will examine the various strands of racial ideology that have arisen to legitimate and perpetuate racialized structural inequality.  We spend the remainder of the semester closely examining the theoretical works regarding race which have emerged from legal studies, sociology, politics, and women's studies.  Prerequisites: AFAM 100, AFAM 209/309, AFAM 310, HIST 247, or SOC 115, or by permission of the instructor.
"
AFAM,306,"The first part of this course will provide students with a broad overview of important sociological theories regarding work. We will read major theorists' (eg. Marx, Weber, DuBois) contributions to the study of work. We will use these works to answer fundamental questions such as: Why do we work? Who controls our labor? How does work influence our quality of life? The second part of this course focuses on how work has been racialized in the U.S. labor market. Specifically, students will be exposed to various themes in African-American labor history and class formation. Although the cases of racialized labor focus on African Americans, students will be exposed to the work experiences of other subaltern groups. Prerequisites for 200-level: One 100-level Social Science or African American Studies course. Prerequisites for 300-level: One 100-level and one 200-level (or higher) Social Science or African American Studies course."
AFAM,307,"This course will explore the radical tradition in African-American thought.  Black radical thought has come to be associated with a diverse array of scholars, disciplines, and political ideologies.  Students will be introduced to historical and contemporary scholars and epistemologies that challenge the racialized structure of inequality observed as constraining the lives of Black Americans. This course will cover various traditions in Black radical thought including Black Nationalism, Black Feminism/Womanism, Black Anarchism, and Black Marxism.  
We will examine the work of scholars, organizations, and social movements such as Angela Davis, Derrick Bell, bell hooks, the Combahee River Collective, the Black Panthers, the Prison Abolition Movement, Black Lives Matter, and #SayHerName.
"
AFAM,308,"From slave rebellions to the contemporary #blacklivesmatter movement, African Americans have continuously attempted to combat oppressive conditions. This course explores contemporary iterations of Black resistance to racially discriminatory policing, the prison industrial complex, and neoliberal economic policies. We begin the course by mapping out how conservative, free-market economic ideology and practices marginalize and ""ghettoize"" large swaths of the Black community. The second part of the course focuses on state sanctioned discrimination and violence against Black bodies in policing. We then turn our attention to mass incarceration and its consequences for those labeled ""criminals"" and the communities they leave behind. The remainder of the course examines uprisings in Ferguson and Baltimore; the #blacklivesmatter and #sayhername movements; and the essential role Black women and LGBTQ individuals have played in these resistance movements.  Prerequisites: a previous AFAM course, SOC 115, HIST 147, or permission of the instructor."
AFAM,309,"This course will examine events in American history through the novels of African American writers, focusing on events and narratives such as: a slave revolt in the 1800s; the naval exploits of Robert Smalls during the Civil War; the black presence in wars fought by the United States from the American Revolution, WW I, WW II, to Vietnam; a Southern black family coming to terms with the legacy of slavery through the Jim Crow era; a young black girl's coming of age at the beginning of the Southern Civil Rights Movement in the late 1950s; stories of racial upheavals in the cities of Boston and Philadelphia during the 1970s & 1980s; and a dystopian novel of racial and political strife in Los Angeles during the not too distant future. For 200 level students the prerequisite is completion of Sem 1; for 300 level students the prerequisite is Sem 3.
"
AFAM,310,"This course will focus on the history and practice of black aesthetics, as they have evolved within fiction, poetry, drama and the visual arts from the Harlem Renaissance of the 1920's and 30's to the Black Arts Movement of the 1960's &70's and how these artistic expressions have been part of an ongoing conversation into the 21st Century regarding the representations of black American life in America. Prerequisites: Students must be sophomores or above and have taken at least one humanities course at the 200 level or above."
ANTH,100,"This course introduces students to the development of cultural anthropological theory and practice. It considers important anthropological topics such as myth, religion, gift exchange, totem/taboo, and kinship as a way to approach the comparative study of human societies and cultures. Specific topics include rival concepts of culture, critical senses of differences, and ways diversity is represented in distinctive world-views. The course also samples some current and long lasting issues in interpretive practices and critical theory. No prerequisites."
ANTH,105,"For many centuries, African societies nurtured a repertoire of visual, oral and material cultural practices that were embedded in the everyday life of its people. More recently, colonialism, globalisation, and transnationalism, have played a significant role in the presence and forms of public culture in African societies. The aims of this course are: (1) to explore how these forms of cultural presence that cut across, art, architecture, the city, film, fashion, music, television, oral traditions, leisure and consumption reflect Africa¿s own modernity; (2) to interrogate global circulation of cultural capital and the relations of power and agency inherent in such exchanges."
ANTH,200,"Cultural Studies analyzes how culture—the domain in which people search for meaning and construct identity—is subject to politicization and commodification. This course introduces students to the history, theories, and methods of cultural
studies, exploring fundamental concepts such as culture, power, ideology, and hegemony, and their relationships to the production of culture and identities. Crucial to this project will be a critical analysis of contemporary media (such as TV, romance novels, and advertisements). This course covers topics central to understanding our global society, including: The ways fashion and shopping construct identities; the political and cultural dimensions of global consumerism; the museum as a site for the making of elite culture; the functions served by corporate philanthropy; and the social construction of select spaces as cultural arenas. Throughout the course we consider the interplay of notions of race, class, and gender on national identities, and the relationships between popular and “high” culture. Prerequisite: Sophomore standing or permission of the instructor.
"
ANTH,202,"We will study the interconnections between language and other aspects of culture. These interconnections include the ways that language molds and transmits people's concepts about the world in which they live and the relations between themselves and others. We will study the connections between concepts of the world (or a culture's ""world view"") and the language spoken by examining vocabulary, metaphor, grammatical constructions, and other features of
language. No prerequisites."
ANTH,210,"This course examines the impact of colonialist invasions and conquests as well as neocolonial hegemony on tribal people. Direct and indirect consequences of colonialism will be discussed. Topics include changes in economies, political autonomy and independence, family and social systems, and religious beliefs. Readings will be drawn from studies of tribal societies in Africa, Asia, the Americas, and the Pacific. Prerequisite: One course in social studies."
ANTH,212,"This course explores the ways that indigenous and non-Western peoples are portrayed in popular commercial film. Through viewing films and texts about visual representation, we will consider questions such as: From whose point of view is the story told? Whose voices dominate the film's narrative and perspective? Are characters presented as multidimensional or stereotypical? The course will also focus on the ways that social and political issues involving indigenous peoples are presented. We will analyze the differences between films made with indigenous participation (as writers or directors) and those with no significant non-Western influence. Prerequisite: One course in Social Studies or Film."
ANTH,214,"This course examines Native American religious beliefs, practices, and philosophies. It begins with discussion of indigenous concepts of the spirit world and its relationship to human life and experience. Succeeding topics include beliefs about  personal contact with the spirit realm, rites of passage, Earth and  resource renewal, healing, and methods of achieving visionary experience. The causes, contents, and outcomes of Native revitalization movements
are also discussed, as are the effects of missionaries on aboriginal belief systems and Native conversions to Christianity. Texts include anthropological, historical, and life-history accounts  selected to be representative of Native nations in the Northeast (Iroquois, Montagnais), Great Plains (Hidatsa. Lakota), Southwest (Hopi, Navajo), Great Basin (Comanche), Northwest (Kwakiutl), and Arctic (Inuit). Prerequisite: One  course in social studies."
ANTH,217,"This course examines religious beliefs and experiences in ""traditional"" and complex societies. It stresses the interconnections between religion and other aspects of culture such as family and community life and economic and political systems. Topics include rituals marking individual and family events, attributes and functions of shamanistic and visionary experiences, ritual treatment of illness, and the social and political implications of revitalization movements.
Prerequisite: One 100-level course in social studies."
ANTH,222,"This course focuses on the vibrant, diverse urban cultures in Africa. Students will address in their exploration of African urban life the socio-economic forces that have contributed to these cities¿ creation, and explore urban residents¿ needs, desires, and dynamic interaction with these built environments. Colonization, urbanization, and migration will be examined to illustrate how town and country continue to be interlinked for urban Africans and to reveal how colonial and postcolonial state projects were imposed on and resisted by Africans in varied urban environments. We will discuss the means by which men, women, and youth locate their respective places in these urban spaces to examine the gendered, economic, religious, and creative aspects of city life from the perspective that anthropology can bring to this subject. The course will draw upon ethnographic work completed in cities primarily in sub-Saharan Africa, including Nairobi, Lusaka, Cape Town, Accra, Bamako, Abidjan, and Dakar to name a few. Prerequisites: ANTH 100 or prior completion of at least one 200-level social science course."
ANTH,223,"This course examines the life history, a form of ethnographic literature. Life histories straddle autobiography and biography, historiography and memoir, and constitute a chronicle of the storyteller's life as it is communicated to their audience, the anthropologist. We will examine the processes that lead to these informative, yet intimate, accounts of individual lives and so understand the value life histories have to empower their narrators and to broaden our knowledge of less examined populations, such as women, the sick, or the poor. We will champion life histories in this course, but will consider critiques of this widely popular method nonetheless. Our reflection on these texts will extend to the manner in which life histories exist as a testament to the worthwhile, but complex, friendships that arise during fieldwork between the narrator and the anthropologist. The course looks to life histories with an eye to content as well as construction, and so students will have the opportunity to collect a life history over the course of the semester."
ANTH,226,"People of Black African origin in North and South America have for long dominated African Diaspora discourse. While this group's presence is predominantly connected to the historical event of forced dispersal through slavery, an integral part of Africa's modernity is the constant voluntary as well as forced movement of its people within and out of the continent. Europe is one of such locations attracting a continuous flow of people from the African continent as well as from what Paul Gilroy calls the 'black Atlantic'. The loyalties, identities and presences of these established and emerging African constituencies shuttle between Europe and both the imagined and real Africa. These transnational subjects are challenging the dominant notion of diaspora consciousness as a matter of unrealised longing for return and establishment of strategically constructed ethnic solidarity under particular systems of domination. This course is interested in exploring the history of this African diaspora formation as well the social and political conditions under which it emerged. The course is interested in the ways in which this ongoing demographic and cultural formation is changing the face of Europe and how Europe is responding to this change.  

The course will utilise texts from a range of disciplinary perspectives as well as a number of films that have been made on Africans in Europe.
"
ANTH,227,"Africans have long found innovative ways to preserve their cultural, community, and personal autonomy, despite the many historical and contemporary forces that have sought to undermine these traditions, efforts and practices. The course content draws primarily from the many examples of Africans' resistance to European colonization, but also explores how those with lower social status or lesser power within African communities (e.g., women or ethnic or religious minorities) have created opportunities for agency and power. Drawing on texts, films and other sources, the course highlights examples from countries across the African continent, including Kenya, Nigeria, Gambia, Tanzania and Madagascar, among others, as well as contexts ranging from rural and agricultural initiatives, to women's collectives, men's barbershops, and nightclubs, to name a few. The various analytic and comparative lenses employed in this course include, but are not limited to, gender-identity, labor, family networks, and globalization.
"
ANTH,228,"According to Evans-Pritchard, the Azande in Africa believed granaries collapsed, crushing their victims, because they were directed to do so by a witch intent on harming the unsuspecting individual seated nearby. Since Evans-Pritchard's pioneering work in the 1930s, a new generation of scholars have emerged whose passions for the preternatural have led to the exploration of witchcraft, sorcery, possession, divination, rumor and gossip as a means to explain the inexplicable and restore equilibrium in an uncertain world. This course examines in a cross-cultural perspective how people create meaning, form community, and devise interpretations of their everyday lives via these diverse beliefs and practices. We will examine how witchcraft accusations are linked to ethnic tensions within nation-states and how these indictments are commentary upon indigenous societies' ambivalence toward modernity. Bewitchment, cannibalism, and zombification index the unequal distribution of resources within families or regions where internal and transnational migration are frequent and elsewhere have become a mode of expression in religious conversion narratives or highlight gender inequities. This course will consider participation in the various cults, such as the bori, and participants' possession by spirits whose origins reach beyond their homeland and extend centuries back in time. Whether these beliefs and practices manifest in localized settings or envelop entire nations, recourse to the preternatural remains a potent and persistent form of expression and interaction in the contemporary world."
ANTH,231,"A crucial aspect of the phenomenon of globalisation is the movement of people through processes of migration and transnationalism. `Imaging and Imagining Migration' follows the trajectories as well as public discourses surrounding such movement through the lens of documentary and fictive films. It will explore the politics of borders, diversity, transnational mobility, citizenship and remittances while also considering the ways in which alterity or difference is articulated through the varied visual documentation of the lives of migrant subjects.
"
ANTH,232,"This course examines cities and their inhabitants in a cross-cultural perspective as these dynamic environments shape and are shaped by their diverse populations. Students will be introduced to the development of Urban Studies from its late 19th century origins in the United States and Europe to the current interdisciplinary focus on the various facets of city life today. We will explore those social, economic, political, and religious forces that have contributed to the creation of varied urban centers that operate as administrative and commercial headquarters, sacred sites, centers for recreation and festival, and global metropolises with influence that extends beyond national borders. Topics that will be discussed include migration and immigration; licit and illicit economic activities; urban violence; the configuration of space with its links to power; expressive culture; and the complex class, ethnic, gender, and racial dimensions found in cities. We address urban life through ethnographic works centered on Ireland, Ghana, Nigeria, Thailand, Bolivia, Brazil, and the United States. Prerequisite: one 100-level social studies course or permission of instructor."
